State,Number of CoCs,"Overall Homeless, 2007","Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Overall Homeless Veterans, 2007","Sheltered Total Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
AK,2,1642,898,489,1387,255,1062,618,273,891,171,580,280,216,496,84,190,95,70,165,25,278,221,57,203,152,51
AL,8,5452,1452,2344,3796,1656,4184,1210,1613,2823,1361,1268,242,731,973,295,466,96,251,347,119,993,483,510,974,745,229
AR,9,3836,1251,1034,2285,1551,2987,985,781,1766,1221,849,266,253,519,330,324,97,87,184,140,852,409,443,287,255,32
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,14646,3934,4684,8618,6028,10020,2412,2011,4423,5597,4626,1522,2673,4195,431,1459,463,828,1291,168,2804,650,2154,869,858,11
CA,42,138986,23920,24591,48511,90475,110952,17096,13401,30497,80455,28034,6824,11190,18014,10020,8733,2265,3530,5795,2938,40341,5950,34391,16701,5827,10874
CO,3,14225,3630,3341,6971,7254,6844,2158,896,3054,3790,7381,1472,2445,3917,3464,2704,584,848,1432,1272,2050,404,1646,1541,931,610
CT,12,4482,2262,1409,3671,811,3173,1631,825,2456,717,1309,631,584,1215,94,442,211,193,404,38,1023,596,427,436,330,106
DC,1,5320,3248,1732,4980,340,3717,2455,922,3377,340,1603,793,810,1603,0,507,246,261,507,0,1760,1439,321,524,487,37
DE,1,1061,439,415,854,207,716,283,247,530,186,345,156,168,324,21,119,56,55,111,8,150,76,74,204,142,62
FL,27,48069,8988,11541,20529,27540,33040,5367,7405,12772,20268,15029,3621,4136,7757,7272,5618,1412,1371,2783,2835,7463,1842,5621,5841,2658,3183
GA,7,19639,4267,4074,8341,11298,12521,3351,2392,5743,6778,7118,916,1682,2598,4520,2177,352,513,865,1312,2484,1108,1376,2243,1929,314
GU,1,725,33,70,103,622,254,14,39,53,201,471,19,31,50,421,120,5,9,14,106,0,0,0,0,0,0
HI,2,6070,1039,1673,2712,3358,3335,654,446,1100,2235,2735,385,1227,1612,1123,734,115,329,444,290,778,132,646,223,223,0
IA,3,2734,852,1589,2441,293,1504,615,639,1254,250,1230,237,950,1187,43,427,83,325,408,19,307,225,82,162,155,7
ID,2,1749,586,539,1125,624,1102,440,173,613,489,647,146,366,512,135,210,55,120,175,35,95,37,58,102,34,68
IL,21,15487,5913,6258,12171,3316,8653,3994,1988,5982,2671,6834,1919,4270,6189,645,2273,600,1446,2046,227,2681,1434,1247,1330,945,385
IN,3,7358,2871,3225,6096,1262,4734,1898,1726,3624,1110,2624,973,1499,2472,152,863,338,484,822,41,694,450,244,516,502,14
KS,6,2111,1172,657,1829,282,1208,668,335,1003,205,903,504,322,826,77,281,157,102,259,22,159,117,42,296,285,11
KY,3,8061,2666,3274,5940,2121,3890,1857,1077,2934,956,4171,809,2197,3006,1165,1367,241,785,1026,341,574,351,223,482,407,75
LA,9,5494,1388,2529,3917,1577,2973,776,1379,2155,818,2521,612,1150,1762,759,832,209,391,600,232,562,226,336,408,315,93
MA,21,15127,7311,6402,13713,1414,8292,3583,3596,7179,1113,6835,3728,2806,6534,301,2468,1321,1030,2351,117,2790,2056,734,1252,1217,35
MD,16,9628,3564,2854,6418,3210,5052,2116,1417,3533,1519,4576,1448,1437,2885,1691,1415,451,463,914,501,1550,749,801,572,541,31
ME,3,2638,664,1912,2576,62,1136,451,637,1088,48,1502,213,1275,1488,14,502,74,423,497,5,97,67,30,119,117,2
MI,24,28295,7325,4227,11552,16743,17553,4792,2175,6967,10586,10742,2533,2052,4585,6157,3056,840,690,1530,1526,2716,927,1789,876,749,127
MN,13,7323,2899,2979,5878,1445,3269,1343,838,2181,1088,4054,1556,2141,3697,357,2411,469,1832,2301,110,1414,967,447,551,443,108
MO,9,6247,2969,2168,5137,1110,3336,1657,904,2561,775,2911,1312,1264,2576,335,972,442,392,834,138,1221,917,304,416,394,22
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,1377,303,548,851,526,1115,217,376,593,522,262,86,172,258,4,76,24,50,74,2,593,169,424,161,158,3
MT,1,1150,502,353,855,295,633,270,128,398,235,517,232,225,457,60,166,75,75,150,16,83,35,48,143,83,60
NC,13,11802,4745,3134,7879,3923,8391,3437,1956,5393,2998,3411,1308,1178,2486,925,1199,433,389,822,377,1645,846,799,992,827,165
ND,1,636,405,172,577,59,403,252,127,379,24,233,153,45,198,35,70,45,16,61,9,80,71,9,67,62,5
NE,7,3531,1798,1209,3007,524,2172,1165,572,1737,435,1359,633,637,1270,89,515,245,246,491,24,785,486,299,165,151,14
NH,3,2248,725,548,1273,975,1255,472,179,651,604,993,253,369,622,371,380,104,132,236,144,367,263,104,111,60,51
NJ,21,17314,10095,4741,14836,2478,8972,5233,1801,7034,1938,8342,4862,2940,7802,540,3201,1861,1162,3023,178,2525,1582,943,618,499,119
NM,2,3015,958,790,1748,1267,1861,743,320,1063,798,1154,215,470,685,469,367,72,154,226,141,711,245,466,163,163,0
NV,3,8642,1528,3290,4818,3824,6477,1353,2286,3639,2838,2165,175,1004,1179,986,700,68,305,373,327,871,191,680,1623,903,720
NY,32,62601,44686,12595,57281,5320,28056,15612,7295,22907,5149,34545,29074,5300,34374,171,11245,9484,1708,11192,53,6476,2413,4063,4742,4732,10
OH,9,11264,5695,3685,9380,1884,6870,3858,1734,5592,1278,4394,1837,1951,3788,606,1622,708,684,1392,230,2308,1601,707,1062,981,81
OK,8,4221,2154,935,3089,1132,2982,1634,567,2201,781,1239,520,368,888,351,433,191,119,310,123,779,395,384,381,304,77
OR,8,17590,3462,4867,8329,9261,9871,2309,1811,4120,5751,7719,1153,3056,4209,3510,2463,375,1031,1406,1057,2829,1087,1742,705,571,134
PA,17,16220,6445,8296,14741,1479,8229,3525,3407,6932,1297,7991,2920,4889,7809,182,2651,923,1674,2597,54,1589,914,675,1805,1729,76
PR,2,4309,546,822,1368,2941,3914,437,713,1150,2764,395,109,109,218,177,116,39,41,80,36,2904,585,2319,104,31,73
RI,1,1372,688,635,1323,49,643,403,196,599,44,729,285,439,724,5,214,85,127,212,2,134,90,44,62,59,3
SC,5,5660,1680,1406,3086,2574,3771,1261,769,2030,1741,1889,419,637,1056,833,458,138,188,326,132,573,367,206,435,350,85
SD,1,579,269,269,538,41,268,138,97,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25,108,106,2
TN,10,11210,3587,2859,6446,4764,8462,2926,1797,4723,3739,2748,661,1062,1723,1025,955,215,345,560,395,2767,896,1871,1028,859,169
TX,18,39788,13840,9042,22882,16906,26306,9420,3699,13119,13187,13482,4420,5343,9763,3719,3839,1171,1630,2801,1038,7931,3290,4641,5527,3034,2493
