State,Number of CoCs,"Overall Homeless, 2009","Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009","Overall Homeless Veterans, 2009","Sheltered Total Homeless Veterans, 2009","Unsheltered Homeless Veterans, 2009"
AK,2,1992,1009,656,1665,327,1239,626,363,989,250,753,383,293,676,77,237,118,92,210,27,323,245,245,78,259,222,37
AL,8,6080,1419,2494,3913,2167,4686,1104,1927,3031,1655,1394,315,567,882,512,509,112,201,313,196,1189,652,652,537,1063,858,205
AR,6,2852,652,1078,1730,1122,2181,499,798,1297,884,671,153,280,433,238,234,58,85,143,91,406,146,146,260,249,168,82
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,14721,4020,4346,8366,6355,9959,2452,1839,4291,5668,4762,1568,2507,4075,687,1406,478,773,1251,155,2229,538,538,1691,2343,1216,1127
CA,43,123678,23081,27696,50777,72901,97534,16849,15568,32417,65117,26144,6232,12128,18360,7784,8613,2086,4057,6143,2470,31412,7001,7001,24411,17973,6799,11174
CO,3,15268,4895,4136,9031,6237,7401,3083,1493,4576,2825,7867,1812,2643,4455,3412,2224,541,812,1353,871,1286,510,510,776,1471,964,507
CT,12,4605,2542,1561,4103,502,2773,1613,675,2288,485,1832,929,886,1815,17,624,317,300,617,7,824,640,640,184,462,401,61
DC,1,6228,3315,2592,5907,321,3934,2632,981,3613,321,2294,683,1611,2294,0,703,203,500,703,0,1923,1632,1632,291,642,613,29
DE,1,1130,583,500,1083,47,776,396,333,729,47,354,187,167,354,0,117,59,58,117,0,167,150,150,17,100,91,9
FL,28,55599,10491,11376,21867,33732,34432,6579,7248,13827,20605,21167,3912,4128,8040,13127,7751,1320,1293,2613,5138,9062,3493,3493,5569,7135,2907,4228
GA,7,20360,4819,4600,9419,10941,14365,3291,2474,5765,8600,5995,1528,2126,3654,2341,1895,445,724,1169,726,3771,1620,1620,2151,2760,1373,1387
GU,1,1088,67,115,182,906,391,24,28,52,339,697,43,87,130,567,168,13,19,32,136,87,19,19,68,22,3,19
HI,2,5782,1050,2218,3268,2514,2941,479,530,1009,1932,2841,571,1688,2259,582,784,176,445,621,163,772,124,124,648,499,234,265
IA,3,3380,1180,2041,3221,159,1655,771,753,1524,131,1725,409,1288,1697,28,532,128,395,523,9,306,238,238,68,270,247,23
ID,2,1939,631,846,1477,462,1117,432,389,821,296,822,199,457,656,166,280,66,154,220,60,210,157,157,53,270,194,76
IL,21,14055,5066,6785,11851,2204,7475,3523,2119,5642,1833,6580,1543,4666,6209,371,2093,503,1478,1981,112,2212,1564,1564,648,1028,801,227
IN,3,6984,3249,1957,5206,1778,4151,1694,993,2687,1464,2833,1555,964,2519,314,975,518,354,872,103,765,505,505,260,740,586,154
KS,5,1892,1116,580,1696,196,1238,741,345,1086,152,654,375,235,610,44,205,116,75,191,14,238,196,196,42,638,578,60
KY,3,5999,2645,2654,5299,700,3302,1816,949,2765,537,2697,829,1705,2534,163,858,241,566,807,51,671,491,491,180,675,597,78
LA,9,12504,1618,2500,4118,8386,10098,1010,1377,2387,7711,2406,608,1123,1731,675,764,190,365,555,209,4815,226,226,4589,1985,441,1544
MA,20,15482,9359,5117,14476,1006,7057,3060,3114,6174,883,8425,6299,2003,8302,123,3035,2163,821,2984,51,1937,1490,1490,447,1890,1709,181
MD,16,11698,4205,3241,7446,4252,6641,2686,1937,4623,2018,5057,1519,1304,2823,2234,1675,519,410,929,746,2062,1243,1243,819,932,698,234
ME,3,2444,843,1563,2406,38,1124,555,537,1092,32,1320,288,1026,1314,6,445,99,344,443,2,186,178,178,8,123,119,4
MI,22,14005,5725,5573,11298,2707,7857,3783,2236,6019,1838,6148,1942,3337,5279,869,2012,652,1071,1723,289,1649,1171,1171,478,1054,877,177
MN,11,7718,3479,3293,6772,946,3393,1758,910,2668,725,4325,1721,2383,4104,221,1362,530,768,1298,64,1449,1129,1129,320,525,441,84
MO,8,6959,2894,2575,5469,1490,3823,1708,1225,2933,890,3136,1186,1350,2536,600,1031,399,453,852,179,892,691,691,201,699,569,130
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,2797,524,697,1221,1576,1843,261,394,655,1188,954,263,303,566,388,301,78,95,173,128,522,152,152,370,358,197,161
MT,1,1196,404,429,833,363,752,268,213,481,271,444,136,216,352,92,133,40,71,111,22,160,107,107,53,206,128,78
NC,12,12918,4873,3600,8473,4445,9159,3450,2126,5576,3583,3759,1423,1474,2897,862,1184,461,449,910,274,1490,1107,1107,383,1118,854,264
ND,1,773,487,278,765,8,548,329,211,540,8,225,158,67,225,0,72,49,23,72,0,70,66,66,4,168,166,2
NE,7,3718,1593,1486,3079,639,2072,1056,691,1747,325,1646,537,795,1332,314,530,155,278,433,97,495,413,413,82,298,263,35
NH,3,1645,892,514,1406,239,891,479,191,670,221,754,413,323,736,18,259,131,122,253,6,330,285,285,45,167,150,17
NJ,20,13169,7602,4269,11871,1298,5962,3631,1374,5005,957,7207,3971,2895,6866,341,2498,1376,998,2374,124,934,704,704,230,618,542,76
NM,2,3475,985,1123,2108,1367,2343,637,465,1102,1241,1132,348,658,1006,126,304,68,184,252,52,779,341,341,438,408,226,182
NV,3,11089,1311,6481,7792,3297,9394,1046,5097,6143,3251,1695,265,1384,1649,46,438,78,346,424,14,1297,196,196,1101,1936,1329,607
NY,32,61067,46894,10560,57454,3613,24557,13654,7351,21005,3552,36510,33240,3209,36449,61,11402,10233,1144,11377,25,4280,2272,2272,2008,5879,5047,832
OH,9,12700,6222,4707,10929,1771,7774,4235,2195,6430,1344,4926,1987,2512,4499,427,1648,660,860,1520,128,2303,1838,1838,465,1390,1185,205
OK,8,4838,2316,991,3307,1531,3227,1644,541,2185,1042,1611,672,450,1122,489,545,226,166,392,153,654,538,538,116,475,416,59
OR,8,17309,2715,4727,7442,9867,10443,1838,2154,3992,6451,6866,877,2573,3450,3416,2233,288,850,1138,1095,2842,919,919,1923,1277,672,605
PA,17,15096,6954,6865,13819,1277,7384,4067,2124,6191,1193,7712,2887,4741,7628,84,2497,921,1545,2466,31,1798,1027,1027,771,1440,1282,158
PR,2,4070,551,774,1325,2745,3730,443,690,1133,2597,340,108,84,192,148,109,26,32,58,51,2195,661,661,1534,97,24,73
RI,1,1607,819,737,1556,51,1139,616,472,1088,51,468,203,265,468,0,202,99,103,202,0,220,190,190,30,120,113,7
SC,5,4473,1577,1459,3036,1437,3194,1118,827,1945,1249,1279,459,632,1091,188,474,183,220,403,71,674,392,392,282,629,439,190
SD,1,731,371,296,667,64,445,218,163,381,64,286,153,133,286,0,87,42,45,87,0,109,45,45,64,160,138,22
TN,10,10532,4468,2665,7133,3399,8048,3761,1759,5520,2528,2484,707,906,1613,871,967,282,305,587,380,2632,1498,1498,1134,1142,839,303
TX,18,36761,12672,8986,21658,15103,22564,8505,4438,12943,9621,14197,4167,4548,8715,5482,5282,1424,1512,2936,2346,6020,2741,2741,3279,5491,2735,2756
UT,3,3795,2080,1460,3540,255,2242,1314,673,1987,255,1553,766,787,1553,0,537,246,291,537,0,700,445,445,255,166,110,56
VA,22,8852,4095,3189,7284,1568,5066,2671,1192,3863,1203,3786,1424,1997,3421,365,1247,475,642,1117,130,1621,1034,1034,587,960,782,178
VI,1,471,40,36,76,395,430,5,30,35,395,41,35,6,41,0,18,15,3,18,0,369,4,4,365,32,0,32
VT,2,1214,595,462,1057,157,693,278,293,571,122,521,317,169,486,35,193,116,62,178,15,134,79,79,55,61,52,9
WA,7,22782,6714,9523,16237,6545,12086,4279,2360,6639,5447,10696,2435,7163,9598,1098,3465,784,2287,3071,394,2609,1608,1608,1001,1963,1168,795
WI,4,6525,2789,2676,5465,1060,3161,1622,1111,2733,428,3364,1167,1565,2732,632,1108,385,498,883,225,716,612,612,104,608,575,33
WV,4,1667,793,485,1278,389,1101,579,269,848,253,566,214,216,430,136,177,73,65,138,39,337,239,239,98,271,177,94
WY,1,515,185,266,451,64,340,120,162,282,58,175,65,104,169,6,72,19,51,70,2,79,30,30,49,117,95,22
Total,450,630227,221474,181834,403308,226919,392131,125288,90707,215995,176136,238096,96186,91127,187313,50783,78514,30983,29860,60843,17671,107212,45592,45592,61620,73367,43409,29958
