State,Number of CoCs,"Overall Homeless, 2012","Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK,2,1913,1139,577,0,1716,197,1298,33,849,27,308,4,0,1157,31,141,2,615,290,269,559,56,216,92,102,194,22,279,263,0,263,16,273,257,0,257,16,6,6,6,0,256,227,29
AL,8,5209,1663,1969,32,3664,1545,3825,49,1158,20,1383,3,32,2573,23,1252,26,1384,505,586,1091,293,497,182,201,383,114,969,321,32,353,616,910,299,32,331,579,59,22,22,37,526,377,149
AR,6,4214,886,716,0,1602,2612,3428,80,707,68,484,12,0,1191,80,2237,0,786,179,232,411,375,266,65,69,134,132,437,171,0,171,266,361,142,0,142,219,76,29,29,47,362,205,157
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,11302,4291,3884,40,8215,3087,6310,129,2507,30,1239,21,40,3786,51,2524,78,4992,1784,2645,4429,563,1465,569,758,1327,138,1895,581,34,615,1280,1605,355,34,389,1216,290,226,226,64,1478,1007,471
CA,42,120098,22200,23530,160,45890,74208,94888,1366,14608,169,11726,115,160,26494,284,68394,1082,25210,7592,11804,19396,5814,8076,2410,3780,6190,1886,33356,5337,121,5458,27898,30189,4791,121,4912,25277,3167,546,546,2621,14611,4512,10099
CO,3,16768,3502,3733,25,7260,9508,5101,335,1892,15,930,14,25,2847,29,2254,306,11667,1610,2803,4413,7254,3104,457,825,1282,1822,1943,759,25,784,1159,1612,468,25,493,1119,331,291,291,40,1512,800,712
CT,7,4209,2271,1243,0,3514,695,2906,1,1577,1,675,0,0,2252,1,654,0,1303,694,568,1262,41,449,239,193,432,17,944,614,0,614,330,924,594,0,594,330,20,20,20,0,332,285,47
DC,1,6954,3772,2503,0,6275,679,3767,13,2166,10,922,3,0,3088,13,679,0,3187,1606,1581,3187,0,1014,511,503,1014,0,2315,1773,0,1773,542,1870,1328,0,1328,542,445,445,445,0,531,466,65
DE,1,1008,527,449,10,986,22,611,0,364,0,215,0,10,589,0,22,0,397,163,234,397,0,128,49,79,128,0,100,82,7,89,11,84,66,7,73,11,16,16,16,0,66,64,2
