State,Number of CoCs,"Overall Homeless, 2013","Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
AK,2,1946,369,189,1388,1137,195,103,839,604,138,70,396,0,0,0,1741,333,173,1235,205,36,16,153,1362,18,150,1194,835,10,87,738,373,4,50,319,0,0,0,1208,14,137,1057,154,4,13,137,584,351,39,194,302,185,16,101,231,134,20,77,533,319,36,178,51,32,3,16,196,105,77,182,14,184,138,0,138,46,166,124,0,124,42,18,14,14,4,210,9,188,8,22,1
AL,8,4689,694,506,3489,1555,215,165,1175,1660,350,157,1153,31,1,30,3246,565,323,2358,1443,129,183,1131,3387,80,368,2939,1051,37,98,916,1130,0,130,1000,31,1,30,2212,37,229,1946,1175,43,139,993,1302,614,138,550,504,178,67,259,530,350,27,153,1034,528,94,412,268,86,44,138,495,206,169,375,120,858,265,30,295,563,768,219,30,249,519,90,46,46,44,511,25,363,16,148,9
AR,6,3812,429,350,3033,1037,275,96,666,627,69,82,476,0,0,0,1664,344,178,1142,2148,85,172,1891,3174,54,238,2882,651,46,30,575,526,8,65,453,0,0,0,1177,54,95,1028,1997,0,143,1854,638,375,112,151,386,229,66,91,101,61,17,23,487,290,83,114,151,85,29,37,218,125,37,162,56,602,171,0,171,431,565,142,0,142,423,37,29,29,8,462,11,326,9,136,2
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,10562,2598,942,7022,3893,945,298,2650,3500,1519,370,1611,38,1,37,7431,2464,669,4298,3131,134,273,2724,6510,49,640,5821,2458,23,206,2229,1166,18,187,961,38,1,37,3662,41,394,3227,2848,8,246,2594,4052,2549,302,1201,1435,922,92,421,2334,1501,183,650,3769,2423,275,1071,283,126,27,130,1291,426,784,1210,81,1188,482,38,520,668,1064,412,38,450,614,124,70,70,54,1222,75,901,58,321,17
CA,40,118552,16097,14366,88089,21928,4561,1577,15790,23432,6993,3017,13422,194,2,192,45554,11554,4596,29404,72998,4543,9770,58685,93458,2144,12297,79017,14520,224,1005,13291,11712,252,1913,9547,194,2,192,26426,476,2920,23030,67032,1668,9377,55987,25094,13953,2069,9072,7408,4337,572,2499,11720,6741,1104,3875,19128,11078,1676,6374,5966,2875,393,2698,8267,2395,3863,6258,2009,33112,5172,79,5251,27861,29248,4098,79,4177,25071,3864,1074,1074,2790,12895,814,4886,354,8009,460
CO,3,9754,2710,1066,5978,4025,785,419,2821,3543,1685,440,1418,23,0,23,7591,2470,859,4262,2163,240,207,1716,4664,33,478,4153,2335,18,191,2126,717,6,131,580,23,0,23,3075,24,322,2729,1589,9,156,1424,5090,2677,588,1825,1690,767,228,695,2826,1679,309,838,4516,2446,537,1533,574,231,51,292,1444,440,844,1284,160,1780,823,23,846,934,1354,642,23,665,689,426,181,181,245,685,59,452,44,233,15
CT,6,4448,813,342,3293,2390,466,200,1724,1139,291,84,764,0,0,0,3529,757,284,2488,919,56,58,805,3101,12,225,2864,1632,12,140,1480,643,0,32,611,0,0,0,2275,12,172,2091,826,0,53,773,1347,801,117,429,758,454,60,244,496,291,52,153,1254,745,112,397,93,56,5,32,475,263,175,438,37,1046,678,0,678,368,872,542,0,542,330,174,136,136,38,341,25,267,24,74,1
DC,1,6865,1874,604,4387,4010,918,310,2782,2343,956,276,1111,0,0,0,6353,1874,586,3893,512,0,18,494,3696,6,158,3532,2459,6,84,2369,725,0,56,669,0,0,0,3184,6,140,3038,512,0,18,494,3169,1868,446,855,1551,912,226,413,1618,956,220,442,3169,1868,446,855,0,0,0,0,983,464,519,983,0,2027,1566,0,1566,461,1764,1303,0,1303,461,263,263,263,0,499,45,435,41,64,4
DE,1,946,240,61,645,516,108,26,382,410,132,35,243,10,0,10,936,240,61,635,10,0,0,10,575,1,34,540,353,0,15,338,202,1,19,182,10,0,10,565,1,34,530,10,0,0,10,371,239,27,105,163,108,11,44,208,131,16,61,371,239,27,105,0,0,0,0,119,53,66,119,0,71,61,7,68,3,65,55,7,62,3,6,6,6,0,89,2,86,2,3,0
FL,28,47862,10872,4115,32875,8755,1996,801,5958,10729,2824,870,7035,186,2,184,19670,4820,1673,13177,28192,6052,2442,19698,31359,1542,2344,27473,5853,247,493,5113,6291,187,530,5574,186,2,184,12330,434,1025,10871,19029,1108,1319,16602,16503,9330,1771,5402,2902,1749,308,845,4438,2637,340,1461,7340,4386,648,2306,9163,4944,1123,3096,5806,959,1461,2420,3386,9647,1720,153,1873,7774,7778,1455,153,1608,6170,1869,265,265,1604,5505,536,2328,174,3177,362
GA,9,16971,2633,1401,12937,4824,923,512,3389,3686,1164,244,2278,0,0,0,8510,2087,756,5667,8461,546,645,7270,12880,75,1041,11764,3381,12,360,3009,1869,3,120,1746,0,0,0,5250,15,480,4755,7630,60,561,7009,4091,2558,360,1173,1443,911,152,380,1817,1161,124,532,3260,2072,276,912,831,486,84,261,1257,491,499,990,267,3082,936,0,936,2146,2713,842,0,842,1871,369,94,94,275,1805,157,900,73,905,84
GU,1,1271,515,147,609,60,27,2,31,68,21,8,39,0,0,0,128,48,10,70,1143,467,137,539,296,0,35,261,11,0,0,11,24,0,4,20,0,0,0,35,0,4,31,261,0,31,230,975,515,112,348,49,27,2,20,44,21,4,19,93,48,6,39,882,467,106,309,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,4,2,1,30,3
HI,2,6335,1691,437,4207,1226,372,85,769,2494,1103,185,1206,25,1,24,3745,1475,271,1999,2590,216,166,2208,3355,7,202,3146,596,3,26,567,521,0,32,489,25,1,24,1142,3,59,1080,2213,4,143,2066,2980,1684,235,1061,630,369,59,202,1973,1103,153,717,2603,1472,212,919,377,212,23,142,736,173,470,643,93,1180,252,21,273,907,1031,191,21,212,819,149,61,61,88,558,43,234,20,324,23
IA,3,3084,1016,328,1740,1203,271,130,802,1747,744,187,816,0,0,0,2950,1015,317,1618,134,1,11,122,1524,10,188,1326,782,0,97,685,610,10,81,519,0,0,0,1392,10,178,1204,132,0,10,122,1560,1006,140,414,421,271,33,117,1137,734,106,297,1558,1005,139,414,2,1,1,0,495,140,354,494,1,327,258,0,258,69,277,208,0,208,69,50,50,50,0,229,10,220,10,9,0
ID,2,1781,450,162,1169,745,170,70,505,659,234,51,374,0,0,0,1404,404,121,879,377,46,41,290,1084,20,118,946,490,13,51,426,285,0,33,252,0,0,0,775,13,84,678,309,7,34,268,697,430,44,223,255,157,19,79,374,234,18,122,629,391,37,201,68,39,7,22,211,73,119,192,19,271,165,0,165,106,193,105,0,105,88,78,60,60,18,208,24,162,17,46,7
IL,20,13425,3506,1452,8467,5160,772,533,3855,5980,2517,676,2787,89,15,74,11229,3289,1224,6716,2196,217,228,1751,7958,135,936,6887,3934,33,426,3475,2081,62,303,1716,89,15,74,6104,95,744,5265,1854,40,192,1622,5467,3371,516,1580,1226,739,107,380,3899,2455,373,1071,5125,3194,480,1451,342,177,36,129,1730,405,1224,1629,101,1574,939,41,980,594,1403,849,41,890,513,171,90,90,81,1267,114,882,67,385,47
IN,3,6096,1543,449,4104,3087,703,203,2181,2285,767,178,1340,24,0,24,5396,1470,381,3545,700,73,68,559,3751,36,287,3428,2021,24,129,1868,1122,9,99,1014,24,0,24,3167,33,228,2906,584,3,59,522,2345,1507,162,676,1066,679,74,313,1163,758,79,326,2229,1437,153,639,116,70,9,37,739,328,377,705,34,580,385,24,409,171,511,319,24,343,168,69,66,66,3,743,46,666,45,77,1
KS,5,2693,739,197,1757,1329,322,95,912,1044,374,78,592,9,1,8,2382,696,174,1512,311,43,23,245,1480,6,99,1375,787,0,56,731,442,6,25,411,9,1,8,1238,6,82,1150,242,0,17,225,1213,733,98,382,542,322,39,181,602,368,53,181,1144,690,92,362,69,43,6,20,387,169,196,365,22,356,244,5,249,107,304,199,5,204,100,52,45,45,7,414,28,384,25,30,3
KY,3,5245,1202,524,3519,2439,513,222,1704,2042,599,204,1239,10,1,9,4491,1112,427,2952,754,90,97,567,3302,31,353,2918,1661,26,168,1467,1062,1,109,952,10,1,9,2733,27,278,2428,569,4,75,490,1943,1171,171,601,778,487,54,237,980,598,95,287,1758,1085,149,524,185,86,22,77,672,255,359,614,58,541,266,2,268,273,394,217,2,219,175,147,49,49,98,607,35,510,28,97,7
LA,9,5226,941,534,3751,1389,227,134,1028,2228,675,290,1263,34,3,31,3651,902,427,2322,1575,39,107,1429,3908,65,428,3415,1098,36,115,947,1269,28,206,1035,34,3,31,2401,64,324,2013,1507,1,104,1402,1318,876,106,336,291,191,19,81,959,647,84,228,1250,838,103,309,68,38,3,27,415,96,297,393,22,1115,236,9,245,870,1015,218,9,227,788,100,18,18,82,575,41,383,31,192,10
