State,"Change in Total Homelessness, 2019-2020","Change in Total Homelessness, 2018-2020","Change in Total Homelessness, 2017-2020","Change in Total Homelessness, 2016-2020","Change in Total Homelessness, 2015-2020","Change in Total Homelessness, 2014-2020","Change in Total Homelessness, 2013-2020","Change in Total Homelessness, 2012-2020","Change in Total Homelessness, 2011-2020","Change in Total Homelessness, 2010-2020","Change in Total Homelessness, 2009-2020","Change in Total Homelessness, 2008-2020","Change in Total Homelessness, 2007-2020"
AK,0.0220241,-0.033234,0.0563686,0.0046392,-0.003579,0.0924888,0.0015416,0.0188186,-0.084117,0.0461621,-0.021586,0.1840826,0.1869671
AL,0.0275989,-0.02417,-0.11653,-0.18487,-0.155919,-0.265293,-0.285349,-0.35669,-0.397085,-0.445749,-0.448849,-0.377947,-0.385363
AR,-0.129187,-0.127581,-0.04094,-0.039383,-0.075781,-0.194142,-0.379328,-0.438538,-0.308995,-0.143374,-0.170407,-0.273118,-0.383212
AS, , , , , , , , , , , , , 
AZ,0.097132,0.1129245,0.2271152,0.1310395,0.1094382,0.0461172,0.0394812,-0.028579,0.0452209,-0.199256,-0.254195,-0.120836,-0.250376
CA,0.0678883,0.2429446,0.228203,0.3674053,0.3958078,0.4176846,0.3626763,0.3451348,0.291062,0.3082928,0.3061984,0.1832331,0.1623329
CO,0.0235991,-0.09312,-0.1,-0.06673,-0.010751,-0.018149,0.009432,-0.41281,-0.348637,-0.364036,-0.355122,-0.332339,-0.307838
CT,-0.042202,-0.269366,-0.142562,-0.25551,-0.282184,-0.347191,-0.346897,-0.309812,-0.34807,-0.326923,-0.369164,-0.372163,-0.351852
DC,-0.021622,-0.075898,-0.14626,-0.235928,-0.125788,-0.176562,-0.070648,-0.082542,-0.025359,-0.024316,0.0244059,0.0555923,0.1992481
DE,0.2649294,0.0767098,0.1720322,0.088785,0.2224554,0.2930078,0.2315011,0.155754,0.1256039,0.1863544,0.0309735,0.2486602,0.0980207
FL,-0.029688,-0.11418,-0.146101,-0.180935,-0.234345,-0.338332,-0.425703,-0.501776,-0.515109,-0.522389,-0.505621,-0.451992,-0.428176
GA,-0.020013,0.0773766,0.0058974,-0.20722,-0.257868,-0.380546,-0.396971,-0.50117,-0.512086,-0.484069,-0.497348,-0.464048,-0.478894
GU,-0.097143,-0.074941,-0.07277,-0.271889,-0.382813,-0.417404,-0.378442,-0.392775,-0.547278,-0.51682,-0.273897,0.0896552,0.0896552
HI,0.007174,-0.011026,-0.10554,-0.184699,-0.152493,-0.066493,0.0194159,0.0339417,0.0436328,0.1069592,0.1169146,0.0655007,0.0639209
IA,0.1434125,-0.037104,-0.03955,-0.136097,-0.140863,-0.152146,-0.141699,-0.09597,-0.155392,-0.121765,-0.216864,-0.208906,-0.031822
ID,0,0.1505964,0.1364752,0.0302626,0.1775178,0.1002852,0.2998316,0.1763211,0.0527513,-0.013214,0.1939144,0.5812842,0.3236135
IL,0.0227473,-0.019919,-0.033988,-0.1,-0.208393,-0.204166,-0.223017,-0.262514,-0.255407,-0.275373,-0.257844,-0.291565,-0.326467
IN,0.0281484,0.0697984,0.0343876,-0.029838,-0.040594,-0.057947,-0.077264,-0.101294,-0.092156,-0.128177,-0.194588,-0.239351,-0.235526
KS,0.0285594,0.1051444,0.0708352,0.086031,-0.053709,-0.120014,-0.090605,-0.087556,-0.024691,0.2099802,0.2943975,0.4090909,0.1601137
KY,-0.016671,0.0875813,-0.003478,-0.05334,-0.11613,-0.211829,-0.235272,-0.233078,-0.335267,-0.394383,-0.331389,-0.507066,-0.502419
LA,0.0788847,0.0372671,-0.039939,-0.205558,-0.222494,-0.311116,-0.392843,-0.59174,-0.658487,-0.745794,-0.746241,-0.421091,-0.422461
MA,-0.026853,-0.104295,0.0233419,-0.083282,-0.149515,-0.1536,-0.055389,0.0270842,0.0786726,0.079839,0.1610257,0.2391424,0.1882726
MD,-0.030636,-0.109742,-0.122395,-0.172844,-0.241955,-0.190428,-0.224863,-0.327269,-0.376959,-0.413555,-0.456317,-0.31012,-0.339427
ME,-0.004274,-0.166534,-0.080263,-0.064257,-0.115936,-0.230741,-0.304708,-0.123694,-0.143032,-0.118537,-0.14198,-0.203267,-0.20508
MI,0.0073469,0.0343671,-0.04563,-0.072778,-0.178585,-0.293531,-0.250629,-0.314009,-0.344862,-0.33849,-0.38322,-0.694208,-0.694716
MN,-0.004638,0.0962308,0.0354721,0.0815965,0.0522131,-0.052167,-0.033358,0.0253099,0.0593729,0.0090227,0.0287639,0.0387232,0.0842551
MO,0.0563198,0.109468,0.0811661,0.0537617,0.0069423,-0.10368,-0.239366,-0.362411,-0.27389,-0.19638,-0.062078,-0.150904,0.0448215
MP,-0.332042,0.1561303,0.796131, , , , , , , , , , 
MS,-0.065034,-0.181213,-0.247962,-0.363061,-0.441755,-0.502695,-0.539326,-0.541235,-0.519948,-0.596427,-0.604219,-0.435492,-0.196078
MT,0.1385409,0.0996441,0.0104644,0.0895628,-0.095963,-0.114613,-0.177316,-0.157119,-0.126131,-0.043344,0.291806,0.0903317,0.3434783
NC,-0.00365,0.0012948,0.0354832,-0.029187,-0.131493,-0.192411,-0.237344,-0.313812,-0.280397,-0.238783,-0.281623,-0.252276,-0.213693
ND,-0.028725,-0.001845,-0.503214,-0.413868,-0.585441,-0.569952,-0.738521,-0.213663,-0.102819,-0.322904,-0.300129,-0.120325,-0.149371
NE,0.0164905,-0.007022,-0.038784,-0.127088,-0.123907,-0.205552,-0.235612,-0.365532,-0.322435,-0.379933,-0.353416,-0.396738,-0.319173
NH,0.1998567,0.1551724,0.1504121,0.2262079,0.1591696,0.2172965,0.1575674,0.1196524,0.1402314,0.0641677,0.0182371,-0.170381,-0.254893
NJ,0.0902731,0.0280911,0.1319119,0.0862282,-0.043177,-0.172136,-0.194968,-0.258196,-0.316545,-0.296644,-0.266307,-0.301475,-0.441954
NM,0.0283863,0.3065465,0.3428687,0.4728237,0.2677824,0.2137655,0.1823342,0.0271186,-0.074424,-0.040863,-0.040863,0.1054726,0.1054726
NV,-0.037523,-0.085366,-0.119111,-0.067315,-0.210797,-0.195992,-0.019747,-0.187949,-0.245902,-0.384203,-0.377762,-0.20926,-0.201574
NY,-0.008904,-0.006812,0.0197535,0.0569645,0.0342323,0.1325351,0.178755,0.3120059,0.4385846,0.391199,0.4946043,0.4931861,0.4579799
OH,0.0299662,0.0396136,0.055473,0.0241253,-0.047129,-0.09879,-0.135497,-0.237676,-0.182272,-0.152279,-0.161024,-0.174799,-0.054066
OK,-0.003043,0.0157582,-0.063587,-0.04261,0.0410379,-0.061799,-0.107985,-0.218601,-0.149838,-0.24804,-0.187267,0.0223609,-0.068467
OR,-0.076909,0.0123653,0.0503118,0.1070403,0.1080448,0.2047846,0.0602662,-0.074109,-0.150632,-0.248153,-0.153331,-0.290418,-0.166856
PA,0.0133343,-0.010139,-0.053968,-0.12804,-0.132676,-0.127698,-0.113416,-0.092359,-0.114004,-0.078603,-0.114004,-0.130251,-0.175401
PR,-0.033136,-0.22973,-0.304681,-0.445224,-0.457503,-0.406825,-0.40625,-0.236924,-0.154828,-0.409255,-0.397789,-0.186255,-0.431191
RI,0.0464455,0.0027248,-0.064407,-0.048276,-0.006301,-0.072269,-0.202312,-0.135474,0.0317757,-0.138846,-0.313006,-0.076923,-0.195335
SC,0.0275647,0.0900076,0.0947395,-0.151257,-0.19929,-0.152264,-0.344896,-0.127772,-0.158256,-0.041583,-0.041583,-0.24258,-0.24258
SD,0.0633166,-0.087144,0.1219512,-0.01306,0.0212355,0.1954802,-0.032907,0.2316647,0.2808717,0.4473324,0.4473324,0.8272884,0.8272884
TN,-0.028258,-0.079538,-0.12673,-0.173482,-0.204648,-0.229315,-0.238455,-0.230214,-0.203775,-0.293889,-0.311052,-0.252344,-0.352721
TX,0.0534277,0.0758198,0.156319,0.177623,0.1499704,-0.044429,-0.080567,-0.20037,-0.262307,-0.224709,-0.259297,-0.322493,-0.315648
UT,0.1190136,0.0886648,0.0978261,0.1154257,0.0350413,0.0162285,-0.044553,-0.112277,0.0003195,-0.04659,-0.174967,-0.088235,0.0398539
VA,0.0300882,-0.003013,-0.018131,-0.049617,-0.149122,-0.151425,-0.218754,-0.292854,-0.324297,-0.343943,-0.327045,-0.296611,-0.388775
VI,-0.031847,-0.374486,-0.2021,-0.108504,-0.097923,-0.321429,-0.369295,-0.371901,-0.428571,-0.37577,-0.354565,-0.495017,-0.456172
VT,0.0192837,-0.140201,-0.093878,-0.006267,-0.271175,-0.288005,-0.236589,-0.043103,-0.02972,-0.090164,-0.085667,0.163522,0.0724638
WA,0.0623812,0.0277529,0.0857806,0.1006386,0.1804418,0.242978,0.2907095,0.117977,0.1215324,0.001967,0.0061891,0.0441377,-0.019505
WI,-0.005068,-0.079886,-0.10185,-0.205805,-0.254581,-0.254335,-0.260321,-0.250871,-0.219533,-0.287068,-0.308046,-0.171408,-0.200602
WV,-0.040086,0.0788415,0.0244461,-0.033165,-0.26921,-0.33383,-0.401339,-0.443568,-0.393487,-0.407686,-0.195561,-0.334821,-0.443337
WY,0.1167883,-0.042254,-0.298969,-0.285881,-0.233083,-0.191546,-0.357817,-0.662438,-0.410405,0.0569948,0.1883495,-0.185087,0.1396648
Total,0.0224602,0.0499901,0.053485,0.0555309,0.0279047,0.0069668,-0.016766,-0.066104,-0.06945,-0.088861,-0.078957,-0.092716,-0.103192
,,,,,,,,,,,,,
